transaction_id,transaction_date,branch_id,branch_name,city,region,customer_id,customer_age_group,customer_gender,product_id,product_name,category,brand,quantity,unit_price,discount_percent,revenue,cost,profit,payment_method
TX000014,2023-01-01,BR006,East Square,Kratie,East,CUS03393,25-34,Male,PRD0036,Hair Serum,Beauty,GlowLab,3,$14.99,0%,$44.97,$32.91,$12.06,Cash
TX000015,2023-01-01,BR001,Central Mall,Phnom Penh,Central,CUS00415,25-34,Male,PRD0014,Slim Fit Jeans,Fashion,Denim Co,3,$114.99,0%,$344.97,$225.41,$119.56,Credit Card
TX000016,2023-01-01,BR003,Riverside Center,Siem Reap,North,CUS02876,35-44,Female,PRD0006,Tablet Air 10,Electronics,Voltek,2,$865.99,0%,"$1,731.98","$1,376.59",$355.39,Mobile Payment
TX000017,2023-01-01,BR001,Central Mall,Phnom Penh,Central,CUS02204,45-54,Female,PRD0051,Fresh Eggs (12pc),Grocery,FarmFresh,7,$4.99,10%,$31.44,$25.18,$6.26,Debit Card
TX000018,2023-01-01,BR004,North Point,Battambang,North,CUS02508,35-44,Male,PRD0012,Women's Summer Dress,Fashion,Belle Mode,3,$125.99,0%,$377.97,$244.90,$133.07,Credit Card
TX000019,2023-01-01,BR006,East Square,Kratie,East,CUS03732,25-34,Male,PRD0010,Smartwatch S2,Electronics,NexGear,1,$421.99,5%,$400.89,$321.56,$79.33,Cash
TX000020,2023-01-01,BR002,Downtown Plaza,Phnom Penh,Central,CUS01091,45-54,Male,PRD0055,Fresh Milk 1L,Grocery,DairyBest,4,$18.99,5%,$72.16,$43.62,$28.54,Debit Card
TX000021,2023-01-01,BR008,City Hub,Sihanoukville,South,CUS00059,45-54,Male,PRD0062,Sketchbook,Stationery,PaperPlus,3,$10.99,5%,$31.32,$24.28,$7.04,Cash
TX000022,2023-01-01,BR002,Downtown Plaza,Phnom Penh,Central,CUS00917,25-34,Female,PRD0006,Tablet Air 10,Electronics,Voltek,2,$789.99,20%,"$1,263.98",$797.15,$466.83,Cash
TX000023,2023-01-01,BR002,Downtown Plaza,Phnom Penh,Central,CUS03852,25-34,Female,PRD0032,Matte Lipstick,Beauty,Belle Cosmetics,2,$65.99,10%,$118.78,$70.56,$48.22,Mobile Payment
TX000024,2023-01-01,BR008,City Hub,Sihanoukville,South,CUS00928,18-24,Female,PRD0011,Men's Denim Jacket,Fashion,Urbanwear,2,$51.99,20%,$83.18,$62.32,$20.86,Credit Card
TX000025,2023-01-01,BR006,East Square,Kratie,East,CUS02836,35-44,Female,PRD0006,Tablet Air 10,Electronics,Voltek,1,$770.99,25%,$578.24,$427.76,$150.48,Mobile Payment
TX000026,2023-01-02,BR002,Downtown Plaza,Phnom Penh,Central,CUS03355,18-24,Female,PRD0027,Blackout Curtain Set,Home Living,CozyNest,1,$132.99,25%,$99.74,$59.51,$40.23,Cash
TX000027,2023-01-02,BR008,City Hub,Sihanoukville,South,CUS03439,18-24,Female,PRD0052,Canned Tuna,Grocery,QuickMeal,3,$1.00,20%,$2.40,$1.92,$0.48,Mobile Payment
TX000028,2023-01-02,BR002,Downtown Plaza,Phnom Penh,Central,CUS00047,25-34,Female,PRD0012,Women's Summer Dress,Fashion,Belle Mode,5,$119.99,5%,$569.95,$438.19,$131.76,Credit Card
TX000029,2023-01-02,BR003,Riverside Center,Siem Reap,North,CUS00044,35-44,Female,PRD0009,Digital Camera Z2,Electronics,ClearView,1,$157.99,0%,$157.99,$115.04,$42.95,Cash
TX000030,2023-01-02,BR001,Central Mall,Phnom Penh,Central,CUS04160,25-34,Female,PRD0042,Football,Sports,ActivePro,1,$211.99,0%,$211.99,$148.15,$63.84,Mobile Payment
TX000031,2023-01-02,BR004,North Point,Battambang,North,CUS02211,35-44,Male,PRD0055,Fresh Milk 1L,Grocery,DairyBest,6,$17.99,5%,$102.54,$63.89,$38.65,Cash
TX000032,2023-01-02,BR001,Central Mall,Phnom Penh,Central,CUS00257,35-44,Female,PRD0016,Running Sneakers,Fashion,StrideOn,3,$40.99,5%,$116.82,$78.74,$38.08,Mobile Payment
TX000033,2023-01-02,BR003,Riverside Center,Siem Reap,North,CUS00107,35-44,Female,PRD0032,Matte Lipstick,Beauty,Belle Cosmetics,2,$61.99,5%,$117.78,$89.08,$28.70,Credit Card
TX000034,2023-01-02,BR005,South Market,Kampot,South,CUS03434,55+,Male,PRD0014,Slim Fit Jeans,Fashion,Denim Co,4,$121.99,0%,$487.96,$297.19,$190.77,Cash
TX000035,2023-01-02,BR001,Central Mall,Phnom Penh,Central,CUS03810,18-24,Male,PRD0058,Notebook A5,Stationery,PaperPlus,3,$11.99,10%,$32.37,$24.89,$7.48,Cash
TX000036,2023-01-02,BR004,North Point,Battambang,North,CUS02195,35-44,Male,PRD0058,Notebook A5,Stationery,PaperPlus,3,$11.99,15%,$30.57,$18.27,$12.30,Credit Card
TX000037,2023-01-02,BR002,Downtown Plaza,Phnom Penh,Central,CUS01658,25-34,Female,PRD0049,Cooking Oil 1L,Grocery,FarmFresh,5,$18.99,10%,$85.46,$71.01,$14.45,Credit Card
TX000038,2023-01-02,BR001,Central Mall,Phnom Penh,Central,CUS02937,45-54,Female,PRD0002,Wireless Earbuds Pro,Electronics,Sonix,2,$425.99,10%,$766.78,$500.17,$266.61,Cash
TX000039,2023-01-02,BR007,West Gate,Pursat,West,CUS00087,55+,Male,PRD0021,Non-stick Frying Pan,Home Living,HomeCraft,3,$209.99,5%,$598.47,$420.92,$177.55,Cash
TX000040,2023-01-02,BR003,Riverside Center,Siem Reap,North,CUS03776,35-44,Male,PRD0014,Slim Fit Jeans,Fashion,Denim Co,2,$114.99,10%,$206.98,$131.19,$75.79,Credit Card
TX000041,2023-01-02,BR006,East Square,Kratie,East,CUS01117,45-54,Female,PRD0003,Laptop Pro 14,Electronics,Voltek,1,$780.99,0%,$780.99,$579.38,$201.61,Cash
TX000042,2023-01-02,BR008,City Hub,Sihanoukville,South,CUS00836,18-24,Male,PRD0035,Perfume 50ml,Beauty,Belle Cosmetics,2,$30.99,0%,$61.98,$48.25,$13.73,Debit Card
TX000043,2023-01-02,BR004,North Point,Battambang,North,CUS01372,35-44,Male,PRD0036,Hair Serum,Beauty,GlowLab,2,$16.99,0%,$33.98,$23.43,$10.55,Cash
TX000044,2023-01-02,BR008,City Hub,Sihanoukville,South,CUS00257,35-44,Female,PRD0058,Notebook A5,Stationery,PaperPlus,6,$11.99,5%,$68.34,$47.85,$20.49,Mobile Payment
TX000045,2023-01-03,BR001,Central Mall,Phnom Penh,Central,CUS01728,25-34,Male,PRD0057,Mixed Snack Pack,Grocery,QuickMeal,2,$12.99,0%,$25.98,$18.36,$7.62,Credit Card
TX000046,2023-01-03,BR002,Downtown Plaza,Phnom Penh,Central,CUS02990,18-24,Female,PRD0006,Tablet Air 10,Electronics,Voltek,1,$925.99,15%,$787.09,$586.85,$200.24,Debit Card
TX000047,2023-01-03,BR003,Riverside Center,Siem Reap,North,CUS02097,35-44,Female,PRD0003,Laptop Pro 14,Electronics,Voltek,1,$703.99,10%,$633.59,$364.45,$269.14,Debit Card
TX000048,2023-01-03,BR001,Central Mall,Phnom Penh,Central,CUS02800,55+,Female,PRD0064,File Folder Set,Stationery,PaperPlus,1,$15.99,5%,$15.19,$12.68,$2.51,Debit Card
TX000049,2023-01-03,BR002,Downtown Plaza,Phnom Penh,Central,CUS00935,25-34,Female,PRD0055,Fresh Milk 1L,Grocery,DairyBest,1,$19.99,0%,$19.99,$12.41,$7.58,Mobile Payment
TX000050,2023-01-03,BR001,Central Mall,Phnom Penh,Central,CUS01760,18-24,Female,PRD0006,Tablet Air 10,Electronics,Voltek,1,$752.99,0%,$752.99,$437.10,$315.89,Debit Card
TX000051,2023-01-03,BR001,Central Mall,Phnom Penh,Central,CUS02178,18-24,Male,PRD0051,Fresh Eggs (12pc),Grocery,FarmFresh,10,$6.99,0%,$69.90,$55.35,$14.55,Credit Card
TX000052,2023-01-03,BR008,City Hub,Sihanoukville,South,CUS02417,18-24,Female,PRD0043,Cycling Helmet,Sports,RideSafe,1,$163.99,0%,$163.99,$94.96,$69.03,Credit Card
TX000053,2023-01-03,BR004,North Point,Battambang,North,CUS00815,45-54,Male,PRD0049,Cooking Oil 1L,Grocery,FarmFresh,5,$16.99,0%,$84.95,$50.98,$33.97,Credit Card
TX000054,2023-01-04,BR006,East Square,Kratie,East,CUS03431,45-54,Female,PRD0047,Swim Goggles,Sports,RideSafe,5,$97.99,0%,$489.95,$278.00,$211.95,Debit Card
TX000055,2023-01-04,BR001,Central Mall,Phnom Penh,Central,CUS00379,25-34,Male,PRD0049,Cooking Oil 1L,Grocery,FarmFresh,5,$19.99,15%,$84.96,$63.62,$21.34,Cash
TX000056,2023-01-04,BR002,Downtown Plaza,Phnom Penh,Central,CUS00410,35-44,Female,PRD0011,Men's Denim Jacket,Fashion,Urbanwear,2,$55.99,0%,$111.98,$86.99,$24.99,Debit Card
TX000057,2023-01-04,BR006,East Square,Kratie,East,CUS01091,45-54,Male,PRD0047,Swim Goggles,Sports,RideSafe,2,$84.99,5%,$161.48,$103.41,$58.07,Cash
TX000058,2023-01-04,BR002,Downtown Plaza,Phnom Penh,Central,CUS02753,25-34,Male,PRD0020,Silk Scarf,Fashion,Belle Mode,2,$93.99,0%,$187.98,$117.08,$70.90,Debit Card
TX000059,2023-01-04,BR002,Downtown Plaza,Phnom Penh,Central,CUS00309,25-34,Female,PRD0028,Electric Kettle,Home Living,HomeCraft,3,$25.99,0%,$77.97,$45.71,$32.26,Credit Card
TX000060,2023-01-04,BR006,East Square,Kratie,East,CUS00036,35-44,Female,PRD0008,Power Bank 20000mAh,Electronics,Sonix,1,$751.99,20%,$601.59,$402.62,$198.97,Mobile Payment
TX000061,2023-01-04,BR001,Central Mall,Phnom Penh,Central,CUS02027,55+,Female,PRD0054,Ground Coffee 200g,Grocery,BrewHouse,5,$15.99,25%,$59.96,$45.85,$14.11,Debit Card
TX000062,2023-01-04,BR002,Downtown Plaza,Phnom Penh,Central,CUS01544,18-24,Male,PRD0003,Laptop Pro 14,Electronics,Voltek,1,$766.99,15%,$651.94,$399.53,$252.41,Cash
TX000063,2023-01-04,BR003,Riverside Center,Siem Reap,North,CUS00679,35-44,Male,PRD0025,Memory Foam Pillow,Home Living,CozyNest,1,$227.99,15%,$193.79,$118.39,$75.40,Cash
TX000064,2023-01-04,BR008,City Hub,Sihanoukville,South,CUS02758,25-34,Female,PRD0006,Tablet Air 10,Electronics,Voltek,4,$837.99,20%,"$2,681.57","$1,702.35",$979.22,Mobile Payment
TX000065,2023-01-04,BR003,Riverside Center,Siem Reap,North,CUS02693,55+,Female,PRD0048,Jasmine Rice 5kg,Grocery,FarmFresh,3,$7.99,0%,$23.97,$19.83,$4.14,Cash
TX000066,2023-01-04,BR003,Riverside Center,Siem Reap,North,CUS00520,45-54,Male,PRD0036,Hair Serum,Beauty,GlowLab,1,$14.99,5%,$14.24,$8.46,$5.78,Credit Card
TX000067,2023-01-04,BR001,Central Mall,Phnom Penh,Central,CUS01009,25-34,Male,PRD0021,Non-stick Frying Pan,Home Living,HomeCraft,1,$191.99,5%,$182.39,$133.13,$49.26,Cash
TX000068,2023-01-04,BR006,East Square,Kratie,East,CUS01616,25-34,Female,PRD0030,Facial Cleanser,Beauty,GlowLab,1,$52.99,20%,$42.39,$26.60,$15.79,Debit Card
TX000069,2023-01-04,BR003,Riverside Center,Siem Reap,North,CUS04166,45-54,Female,PRD0012,Women's Summer Dress,Fashion,Belle Mode,2,$127.99,0%,$255.98,$141.32,$114.66,Cash
TX000070,2023-01-04,BR006,East Square,Kratie,East,CUS03267,45-54,Female,PRD0065,Desk Organizer,Stationery,CarryAll,3,$14.99,0%,$44.97,$24.75,$20.22,Debit Card
TX000071,2023-01-04,BR001,Central Mall,Phnom Penh,Central,CUS01503,35-44,Male,PRD0026,Storage Organizer Box,Home Living,TidyLiving,1,$69.99,20%,$55.99,$36.44,$19.55,Debit Card
TX000072,2023-01-05,BR001,Central Mall,Phnom Penh,Central,CUS04059,18-24,Female,PRD0048,Jasmine Rice 5kg,Grocery,FarmFresh,4,$7.99,30%,$22.37,$16.59,$5.78,Debit Card
TX000073,2023-01-05,BR002,Downtown Plaza,Phnom Penh,Central,CUS01991,25-34,Male,PRD0063,Mechanical Pencil Set,Stationery,WriteWell,4,$10.99,0%,$43.96,$25.04,$18.92,Cash
TX000074,2023-01-05,BR002,Downtown Plaza,Phnom Penh,Central,CUS01697,45-54,Male,PRD0005,Bluetooth Speaker,Electronics,Sonix,1,$120.99,0%,$120.99,$102.65,$18.34,Cash
TX000075,2023-01-05,BR003,Riverside Center,Siem Reap,North,CUS03961,35-44,Male,PRD0055,Fresh Milk 1L,Grocery,DairyBest,8,$16.99,0%,$135.92,$106.10,$29.82,Cash
TX000076,2023-01-05,BR008,City Hub,Sihanoukville,South,CUS03107,45-54,Male,PRD0002,Wireless Earbuds Pro,Electronics,Sonix,3,$390.99,10%,"$1,055.67",$865.81,$189.86,Cash
TX000077,2023-01-05,BR002,Downtown Plaza,Phnom Penh,Central,CUS02309,35-44,Male,PRD0060,School Backpack,Stationery,CarryAll,4,$2.99,5%,$11.36,$9.54,$1.82,Credit Card
TX000078,2023-01-05,BR001,Central Mall,Phnom Penh,Central,CUS02546,18-24,Female,PRD0012,Women's Summer Dress,Fashion,Belle Mode,2,$125.99,0%,$251.98,$140.76,$111.22,Cash
TX000079,2023-01-05,BR002,Downtown Plaza,Phnom Penh,Central,CUS04098,25-34,Female,PRD0014,Slim Fit Jeans,Fashion,Denim Co,5,$110.99,0%,$554.95,$389.02,$165.93,Cash
TX000080,2023-01-05,BR004,North Point,Battambang,North,CUS00655,35-44,Female,PRD0025,Memory Foam Pillow,Home Living,CozyNest,1,$245.99,0%,$245.99,$204.42,$41.57,Debit Card
TX000081,2023-01-05,BR006,East Square,Kratie,East,CUS01547,25-34,Female,PRD0062,Sketchbook,Stationery,PaperPlus,1,$9.99,5%,$9.49,$6.58,$2.91,Mobile Payment
TX000082,2023-01-05,BR006,East Square,Kratie,East,CUS01856,18-24,Male,PRD0029,Wall Clock,Home Living,BrightHome,3,$54.99,0%,$164.97,$132.51,$32.46,Debit Card
TX000083,2023-01-05,BR006,East Square,Kratie,East,CUS04150,35-44,Female,PRD0060,School Backpack,Stationery,CarryAll,3,$2.99,10%,$8.07,$6.15,$1.92,Credit Card
TX000084,2023-01-06,BR005,South Market,Kampot,South,CUS00346,55+,Male,PRD0062,Sketchbook,Stationery,PaperPlus,4,$10.99,0%,$43.96,$33.42,$10.54,Cash
TX000085,2023-01-06,BR006,East Square,Kratie,East,CUS00470,45-54,Female,PRD0049,Cooking Oil 1L,Grocery,FarmFresh,3,$16.99,0%,$50.97,$30.41,$20.56,Debit Card
TX000086,2023-01-06,BR001,Central Mall,Phnom Penh,Central,CUS01919,18-24,Male,PRD0015,Leather Handbag,Fashion,Belle Mode,3,$63.99,0%,$191.97,$142.01,$49.96,Cash
TX000087,2023-01-06,BR003,Riverside Center,Siem Reap,North,CUS00736,45-54,Female,PRD0056,Bread Loaf,Grocery,QuickMeal,7,$22.99,0%,$160.93,$98.95,$61.98,Cash
TX000088,2023-01-06,BR002,Downtown Plaza,Phnom Penh,Central,CUS02879,25-34,Male,PRD0022,Cotton Bedsheet Set,Home Living,CozyNest,2,$108.99,0%,$217.98,$128.60,$89.38,Credit Card
TX000089,2023-01-06,BR003,Riverside Center,Siem Reap,North,CUS01596,18-24,Male,PRD0030,Facial Cleanser,Beauty,GlowLab,4,$47.99,10%,$172.76,$144.92,$27.84,Credit Card
TX000090,2023-01-06,BR004,North Point,Battambang,North,CUS03568,45-54,Male,PRD0012,Women's Summer Dress,Fashion,Belle Mode,2,$129.99,0%,$259.98,$201.46,$58.52,Cash
TX000091,2023-01-06,BR002,Downtown Plaza,Phnom Penh,Central,CUS03165,45-54,Female,PRD0061,Highlighter Set,Stationery,WriteWell,4,$13.99,0%,$55.96,$41.03,$14.93,Cash
TX000092,2023-01-06,BR005,South Market,Kampot,South,CUS02020,55+,Female,PRD0024,Ceramic Dinner Set,Home Living,HomeCraft,2,$260.99,0%,$521.98,$317.37,$204.61,Debit Card
TX000093,2023-01-06,BR006,East Square,Kratie,East,CUS03565,45-54,Male,PRD0056,Bread Loaf,Grocery,QuickMeal,4,$20.99,0%,$83.96,$67.30,$16.66,Mobile Payment
TX000094,2023-01-06,BR002,Downtown Plaza,Phnom Penh,Central,CUS00422,18-24,Female,PRD0009,Digital Camera Z2,Electronics,ClearView,2,$138.99,0%,$277.98,$185.06,$92.92,Debit Card
TX000095,2023-01-06,BR005,South Market,Kampot,South,CUS02462,55+,Female,PRD0056,Bread Loaf,Grocery,QuickMeal,2,$20.99,0%,$41.98,$34.20,$7.78,Cash
TX000096,2023-01-06,BR002,Downtown Plaza,Phnom Penh,Central,CUS02566,35-44,Male,PRD0050,Instant Noodles Pack,Grocery,QuickMeal,6,$4.99,0%,$29.94,$19.92,$10.02,Cash
TX000097,2023-01-06,BR001,Central Mall,Phnom Penh,Central,CUS01077,25-34,Female,PRD0014,Slim Fit Jeans,Fashion,Denim Co,2,$129.99,0%,$259.98,$201.91,$58.07,Debit Card
TX000098,2023-01-06,BR005,South Market,Kampot,South,CUS00209,35-44,Male,PRD0054,Ground Coffee 200g,Grocery,BrewHouse,5,$17.99,0%,$89.95,$51.61,$38.34,Mobile Payment
TX000099,2023-01-06,BR005,South Market,Kampot,South,CUS02248,25-34,Female,PRD0027,Blackout Curtain Set,Home Living,CozyNest,1,$148.99,20%,$119.19,$75.28,$43.91,Debit Card
TX000100,2023-01-06,BR005,South Market,Kampot,South,CUS02149,55+,Female,PRD0019,Summer Sandals,Fashion,StrideOn,3,$131.99,10%,$356.37,$234.23,$122.14,Debit Card
TX000101,2023-01-06,BR002,Downtown Plaza,Phnom Penh,Central,CUS02751,35-44,Female,PRD0047,Swim Goggles,Sports,RideSafe,2,$106.99,0%,$213.98,$119.86,$94.12,Cash
TX000102,2023-01-07,BR004,North Point,Battambang,North,CUS00931,35-44,Female,PRD0050,Instant Noodles Pack,Grocery,QuickMeal,3,$4.49,10%,$12.12,$9.30,$2.82,Debit Card
TX000103,2023-01-07,BR008,City Hub,Sihanoukville,South,CUS00788,45-54,Female,PRD0057,Mixed Snack Pack,Grocery,QuickMeal,4,$11.99,20%,$38.37,$28.67,$9.70,Cash
TX000104,2023-01-07,BR001,Central Mall,Phnom Penh,Central,CUS04125,35-44,Female,PRD0055,Fresh Milk 1L,Grocery,DairyBest,3,$17.99,10%,$48.57,$33.16,$15.41,Credit Card
TX000105,2023-01-07,BR006,East Square,Kratie,East,CUS00480,45-54,Male,PRD0048,Jasmine Rice 5kg,Grocery,FarmFresh,7,$8.99,0%,$62.93,$44.56,$18.37,Cash
TX000106,2023-01-07,BR001,Central Mall,Phnom Penh,Central,CUS04197,35-44,Female,PRD0029,Wall Clock,Home Living,BrightHome,3,$60.99,0%,$182.97,$140.76,$42.21,Cash
TX000107,2023-01-07,BR003,Riverside Center,Siem Reap,North,CUS03020,55+,Male,PRD0063,Mechanical Pencil Set,Stationery,WriteWell,3,$12.99,5%,$37.02,$22.22,$14.80,Debit Card
TX000108,2023-01-07,BR001,Central Mall,Phnom Penh,Central,CUS02638,25-34,Female,PRD0060,School Backpack,Stationery,CarryAll,1,$2.99,10%,$2.69,$1.82,$0.87,Cash
TX000109,2023-01-07,BR008,City Hub,Sihanoukville,South,CUS01513,18-24,Female,PRD0036,Hair Serum,Beauty,GlowLab,1,$14.99,10%,$13.49,$10.78,$2.71,Cash
TX000110,2023-01-07,BR001,Central Mall,Phnom Penh,Central,CUS03663,25-34,Female,PRD0060,School Backpack,Stationery,CarryAll,1,$2.99,0%,$2.99,$2.41,$0.58,Credit Card
TX000111,2023-01-07,BR005,South Market,Kampot,South,CUS03823,18-24,Female,PRD0065,Desk Organizer,Stationery,CarryAll,2,$13.99,5%,$26.58,$21.34,$5.24,Cash
TX000112,2023-01-07,BR002,Downtown Plaza,Phnom Penh,Central,CUS03029,25-34,Male,PRD0051,Fresh Eggs (12pc),Grocery,FarmFresh,8,$4.99,0%,$39.92,$31.98,$7.94,Debit Card
TX000113,2023-01-07,BR002,Downtown Plaza,Phnom Penh,Central,CUS02967,55+,Male,PRD0050,Instant Noodles Pack,Grocery,QuickMeal,2,$4.49,10%,$8.08,$5.81,$2.27,Debit Card
TX000114,2023-01-07,BR003,Riverside Center,Siem Reap,North,CUS02097,35-44,Female,PRD0005,Bluetooth Speaker,Electronics,Sonix,2,$123.99,15%,$210.78,$117.56,$93.22,Cash
TX000115,2023-01-07,BR002,Downtown Plaza,Phnom Penh,Central,CUS00311,25-34,Male,PRD0018,Formal Shirt,Fashion,Denim Co,3,$15.99,0%,$47.97,$26.90,$21.07,Debit Card
TX000116,2023-01-08,BR005,South Market,Kampot,South,CUS04194,55+,Male,PRD0016,Running Sneakers,Fashion,StrideOn,1,$42.99,20%,$34.39,$24.92,$9.47,Credit Card
TX000117,2023-01-08,BR003,Riverside Center,Siem Reap,North,CUS00065,25-34,Female,PRD0011,Men's Denim Jacket,Fashion,Urbanwear,2,$57.99,0%,$115.98,$80.45,$35.53,Cash
TX000118,2023-01-08,BR002,Downtown Plaza,Phnom Penh,Central,CUS02097,35-44,Female,PRD0050,Instant Noodles Pack,Grocery,QuickMeal,7,$4.99,5%,$33.18,$23.47,$9.71,Credit Card
TX000119,2023-01-08,BR006,East Square,Kratie,East,CUS01626,18-24,Female,PRD0014,Slim Fit Jeans,Fashion,Denim Co,1,$123.99,15%,$105.39,$60.66,$44.73,Mobile Payment
TX000120,2023-01-08,BR003,Riverside Center,Siem Reap,North,CUS03301,25-34,Male,PRD0036,Hair Serum,Beauty,GlowLab,4,$17.99,0%,$71.96,$51.64,$20.32,Cash
TX000121,2023-01-08,BR005,South Market,Kampot,South,CUS03107,45-54,Male,PRD0042,Football,Sports,ActivePro,1,$169.99,30%,$118.99,$70.74,$48.25,Credit Card
TX000122,2023-01-08,BR003,Riverside Center,Siem Reap,North,CUS02629,35-44,Male,PRD0010,Smartwatch S2,Electronics,NexGear,1,$457.99,30%,$320.59,$203.52,$117.07,Debit Card
TX000123,2023-01-08,BR006,East Square,Kratie,East,CUS00297,35-44,Female,PRD0064,File Folder Set,Stationery,PaperPlus,5,$14.99,15%,$63.71,$35.92,$27.79,Debit Card
TX000124,2023-01-08,BR002,Downtown Plaza,Phnom Penh,Central,CUS01039,25-34,Female,PRD0057,Mixed Snack Pack,Grocery,QuickMeal,7,$11.99,20%,$67.14,$47.20,$19.94,Debit Card
TX000125,2023-01-08,BR006,East Square,Kratie,East,CUS00397,35-44,Female,PRD0001,Smartphone X10,Electronics,Voltek,1,$727.99,0%,$727.99,$545.59,$182.40,Debit Card
TX000126,2023-01-08,BR001,Central Mall,Phnom Penh,Central,CUS04132,18-24,Male,PRD0044,Sports Water Bottle,Sports,FitGear,2,$80.99,30%,$113.39,$92.14,$21.25,Mobile Payment
TX000127,2023-01-08,BR001,Central Mall,Phnom Penh,Central,CUS00543,35-44,Female,PRD0043,Cycling Helmet,Sports,RideSafe,1,$147.99,0%,$147.99,$120.92,$27.07,Mobile Payment
TX000128,2023-01-09,BR006,East Square,Kratie,East,CUS04068,45-54,Female,PRD0053,Bottled Water 1.5L,Grocery,PureSpring,2,$22.99,0%,$45.98,$33.81,$12.17,Credit Card
TX000129,2023-01-09,BR006,East Square,Kratie,East,CUS00478,25-34,Male,PRD0017,Wool Sweater,Fashion,Urbanwear,2,$74.99,0%,$149.98,$83.40,$66.58,Credit Card
TX000130,2023-01-09,BR008,City Hub,Sihanoukville,South,CUS03635,25-34,Female,PRD0015,Leather Handbag,Fashion,Belle Mode,3,$74.99,5%,$213.72,$166.48,$47.24,Cash
TX000131,2023-01-09,BR004,North Point,Battambang,North,CUS02428,45-54,Female,PRD0010,Smartwatch S2,Electronics,NexGear,1,$411.99,30%,$288.39,$236.72,$51.67,Cash
TX000132,2023-01-09,BR007,West Gate,Pursat,West,CUS03525,18-24,Female,PRD0050,Instant Noodles Pack,Grocery,QuickMeal,2,$4.99,10%,$8.98,$5.24,$3.74,Cash
TX000133,2023-01-09,BR006,East Square,Kratie,East,CUS02650,35-44,Male,PRD0040,Running Shoes,Sports,ActivePro,1,$145.99,10%,$131.39,$96.64,$34.75,Mobile Payment
TX000134,2023-01-09,BR008,City Hub,Sihanoukville,South,CUS03270,25-34,Female,PRD0054,Ground Coffee 200g,Grocery,BrewHouse,5,$20.99,5%,$99.70,$60.63,$39.07,Debit Card
TX000135,2023-01-09,BR006,East Square,Kratie,East,CUS03075,25-34,Male,PRD0042,Football,Sports,ActivePro,2,$204.99,0%,$409.98,$306.66,$103.32,Credit Card
TX000136,2023-01-09,BR007,West Gate,Pursat,West,CUS01128,55+,Male,PRD0048,Jasmine Rice 5kg,Grocery,FarmFresh,3,$7.99,0%,$23.97,$18.73,$5.24,Cash
